ip,name,country_id,city,version,error,dnssec,reliability,checked_at,created_at
68.143.108.14,68.143.108.14.nw.nuvox.net.,US,Joplin,dnsmasq-2.40,,false,1.00,2017-04-28T20:46:09Z,2015-01-11T19:34:44Z
50.78.170.194,50-78-170-194-static.hfc.comcastbusiness.net.,US,Seattle,[SECURED],,true,1.00,2017-04-28T20:46:11Z,2015-01-11T19:35:01Z
47.21.236.235,ool-2f15eceb.static.optonline.net.,US,The Bronx,dnsmasq-2.33,,true,1.00,2017-04-28T20:46:10Z,2015-01-11T19:35:17Z
75.103.96.200,mail.savicorp.com.,US,Phoenix,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:46:16Z,2015-01-11T19:39:52Z
209.200.117.112,mail.youngstein.com.,US,Phoenix,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T20:46:22Z,2015-01-11T19:41:26Z
50.199.17.101,redcarpetwifi.com.,US,Ashland,,,false,1.00,2017-04-28T20:46:26Z,2015-01-11T19:43:26Z
163.153.134.52,dell-1.srk12.org.,US,Bombay,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:46:23Z,2015-01-11T19:44:24Z
50.248.48.183,50-248-48-183-static.hfc.comcastbusiness.net.,US,West Palm Beach,,,false,1.00,2017-04-28T20:46:25Z,2015-01-11T19:45:46Z
173.161.188.59,173-161-188-59-Philadelphia.hfc.comcastbusiness.net.,US,,,,false,1.00,2017-04-28T20:46:35Z,2015-01-11T19:49:42Z
108.239.164.157,108-239-164-157.lightspeed.mmphtn.sbcglobal.net.,US,West Memphis,Microsoft DNS 6.0.6002 (17724C46),,false,1.00,2017-04-28T20:46:44Z,2015-01-11T19:57:58Z
216.182.110.62,,US,Usk,9.8.2rc1-RedHat-9.8.2-0.37.rc1.el6_7.4,,true,1.00,2017-04-28T20:46:50Z,2015-01-11T20:00:31Z
66.52.100.10,mail-01.mx.qglobal.net.,US,Stockton,,,false,1.00,2017-04-28T20:46:58Z,2015-01-11T20:03:46Z
204.193.157.31,ns2.gcom.net.,US,Marietta,,,false,1.00,2017-04-28T20:46:55Z,2015-01-11T20:04:05Z
75.103.109.234,,US,Phoenix,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T20:46:55Z,2015-01-11T20:04:07Z
67.53.47.170,rrcs-67-53-47-170.west.biz.rr.com.,US,,Version: main/17458,,false,1.00,2017-04-28T20:46:56Z,2015-01-11T20:04:08Z
198.23.155.198,vps.vnyeu.org.,US,Buffalo,,,true,1.00,2017-04-28T20:47:01Z,2015-01-11T20:04:17Z
209.213.116.228,,US,Atlanta,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T20:47:00Z,2015-01-11T20:05:26Z
75.103.97.22,mail.krlee.org.,US,Phoenix,Microsoft DNS 6.1.7601 (1DB14556),,false,1.00,2017-04-28T20:47:00Z,2015-01-11T20:05:50Z
71.141.85.131,adsl-71-141-85-131.dsl.snfc21.sbcglobal.net.,US,,,,false,1.00,2017-04-28T20:47:26Z,2015-01-11T20:18:29Z
75.103.97.21,,US,Phoenix,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:47:19Z,2015-01-11T20:19:32Z
216.237.219.195,dns4.nstel.com.,US,High Point,TGIF,,false,1.00,2017-04-28T20:47:27Z,2015-01-11T20:24:31Z
75.103.110.98,mail.theheightsfellowship.org.,US,Phoenix,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:47:33Z,2015-01-11T20:27:00Z
71.141.85.130,adsl-71-141-85-130.dsl.snfc21.sbcglobal.net.,US,,,,false,1.00,2017-04-28T20:47:42Z,2015-01-11T20:28:12Z
66.23.227.21,pennyauctiononline.pennyauctiononline.com.,US,Secaucus,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T20:47:44Z,2015-01-11T20:32:39Z
75.103.96.212,,US,Phoenix,Microsoft DNS 6.1.7601 (1DB15B4F),,false,1.00,2017-04-28T20:47:45Z,2015-01-11T20:32:52Z
75.103.109.233,,US,Phoenix,Microsoft DNS 6.1.7601 (1DB14A66),,false,1.00,2017-04-28T20:47:45Z,2015-01-11T20:35:16Z
